TICKER;PRECO;SETOR;MÁXIMA;MÍNIMA;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;22,85;Saúde;23,04;19,38;;-10,92;2,98;1,05;30,83;-1,55;-22,5;-158,83;-209,38;-50,55;0,95;2,46;-10,81;-1,26;0,63;-27,28;-9,62;-1,08;0,35;0,63;0,43;0,13;;5.372.188,58;7,67;-2,09;-0,02;2.702.990.845,60
ABCB4;16,73;Financeiro e Outros;22,29;14,47;6,48;4,63;0,71;0,07;32,56;26,15;18,94;3,35;3,35;;;0,88;5,87;-0,07;1,39;15,4;1,53;;0,1;0,9;0,08;18,7;13,83;14.842.846,03;23,46;3,61;0,16;3.773.444.069,42
ABEV3;14,82;Consumo não Cíclico;16,03;12,47;5,14;15,83;2,75;1,72;49,71;22,46;18,03;12,71;12,2;-0,48;-0,1;2,85;-920,3;-2,33;0,99;17,35;10,88;19,66;0,63;0,36;0,6;10,72;15,19;342.179.585,00;5,4;0,94;1,66;232.841.655.937,52
ADHM3;1,56;Saúde;-;-;;-4,09;-1,29;105,12;100;-13.548,48;-18.860,61;-5,69;-5,69;0;;770,9;-1,43;-116,16;0;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,5;Bens Industriais;3,56;0,88;;-9,89;1,33;0,35;13,11;9,22;-4,2;4,51;8,38;3,87;1,14;0,42;1,14;-0,96;1,93;-13,47;-3,53;8,73;0,26;0,74;0,84;;;6.718.488,66;1,13;-0,15;0,03;1.149.320.184,00
AESB3;12,41;Utilidade Pública;12,69;9,05;0,87;59,02;1,7;0,37;33,16;25,99;4,28;9,73;19,97;10,29;1,79;2,53;2,31;-0,5;2,8;2,88;0,63;3,84;0,22;0,72;0,15;;;34.161.306,68;7,31;0,21;;7.433.802.290,85
AFLT3;8,97;Utilidade Pública;9,80;8,07;2,93;14,43;2,09;1,84;59,73;49,97;48,96;14,13;13,66;-0,47;-0,07;7,06;9,72;-2,43;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;6.219,42;4,3;0,62;-0,23;565.869.759,00
AGRO3;23,83;Consumo não Cíclico;31,35;20,04;13,58;42,88;1,2;0,73;14,46;5,37;4,93;39,31;49,29;10,6;0,32;2,11;3,22;-1,24;2,25;2,79;1,71;1,65;0,61;0,39;0,35;59,78;15,83;9.565.946,97;19,91;0,56;-0,46;2.403.812.147,84
AGXY3;6;Consumo não Cíclico;10,24;6,00;0,66;23,25;0,71;0,09;13,59;5,16;0,39;1,77;3,88;2,09;0,84;0,09;1,17;-0,59;1,1;3,06;0,4;15,79;0,13;0,87;1,01;;;393.053,16;8,45;0,26;-0,46;1.033.491.183,45
AHEB3;22,1;Consumo Cíclico;30,00;17,00;;2,87;26,07;0,52;40,25;24,45;15,94;1,87;1,47;-0,4;-5,56;0,46;5,06;-0,88;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;2.084,00;0,85;7,7;-0,01;188.330.396,20
AHEB5;18,5;Consumo Cíclico;20,00;18,50;;2,4;21,82;0,44;40,25;24,45;15,94;1,57;1,47;-0,4;-5,56;0,38;4,24;-0,74;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;4.207,50;0,85;7,7;-0,01;188.330.396,20
AHEB6;21;Consumo Cíclico;33,00;19,31;;2,73;24,77;0,5;40,25;24,45;15,94;1,78;1,47;-0,4;-5,56;0,43;4,81;-0,84;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;2.700,33;0,85;7,7;-0,01;188.330.396,20
ALLD3;6,7;Consumo Cíclico;13,63;4,50;5,45;8,66;0,4;0,16;14,74;3,78;1,37;3,13;4,85;1,72;0,22;0,12;0,57;-0,55;1,7;4,62;1,9;7,7;0,41;0,59;1,39;14,71;29,93;391.199,55;16,26;0,75;-0,12;605.933.783,00
ALPA3;10,82;Consumo Cíclico;19,66;7,80;;-66,57;1,34;0,91;45,1;-3,22;-2,67;-55,22;-60,29;-6,73;0,16;1,78;3,76;-1,53;2,5;-2,01;-1,37;-2,56;0,68;0,32;0,51;2,36;;148.054,76;8,07;-0,16;0,56;7.168.313.731,27
ALPA4;10,37;Consumo Cíclico;23,60;7,02;;-63,74;1,28;0,87;45,1;-3,22;-2,67;-52,87;-60,29;-6,73;0,16;1,7;3,6;-1,46;2,5;-2,01;-1,37;-2,56;0,68;0,32;0,51;2,36;;87.888.527,97;8,07;-0,16;0,54;7.168.313.731,27
ALPK3;2,54;Bens Industriais;3,64;1,11;;-3,66;1,42;0,2;29,35;8,26;-12,67;5,61;18,33;12,49;3,17;0,46;-2,13;-0,24;0,63;-38,84;-5,49;4,79;0,14;0,86;0,43;3,17;;1.348.277,89;1,79;-0,69;0,14;566.086.020,72
ALSO3;21,64;Financeiro e Outros;21,77;15,15;2,4;4,04;0,84;0,43;111,74;384,8;209,84;2,2;1,82;-0,38;-0,14;8,47;8,11;-0,49;1,93;20,82;10,71;25,62;0,51;0,45;0,05;25,65;85,92;92.630.637,08;25,74;5,36;0;12.391.297.865,31
ALUP11;29,18;Utilidade Pública;29,29;22,45;5,34;12,4;1,24;0,31;79,84;71,68;20,19;3,49;7;3,5;1,24;2,5;2,98;-0,39;2,15;10;2,51;10,38;0,25;0,62;0,12;20,04;16,77;29.615.507,21;23,57;2,36;-0,3;8.911.140.528,32
ALUP3;9,77;Utilidade Pública;9,81;7,51;5,32;12,44;1,24;0,31;79,84;71,68;20,19;3,5;7;3,5;1,24;2,51;2,99;-0,39;2,15;10;2,51;10,38;0,25;0,62;0,12;20,04;16,77;204.959,37;7,86;0,79;-0,3;8.911.140.528,32
ALUP4;9,74;Utilidade Pública;9,80;7,40;5,34;12,39;1,24;0,31;79,84;71,68;20,19;3,49;7;3,5;1,24;2,5;2,98;-0,39;2,15;10;2,51;10,38;0,25;0,62;0,12;20,04;16,77;336.794,89;7,86;0,79;-0,3;8.911.140.528,32
AMAR3;0,63;Consumo Cíclico;3,03;0,59;;-0,47;0,6;0,08;38,66;-8,56;-16,96;-0,94;-6,15;-5,21;3,3;0,08;-15,95;-0,15;0,99;-125,64;-15,9;-16,04;0,13;0,87;0,94;-0,89;;5.645.581,95;1,07;-1,35;0;219.419.463,68
AMBP3;20,81;Utilidade Pública;33,00;17,78;0,64;-28,81;1,95;0,23;22,22;15,8;-1,96;3,58;9,6;6,03;3,29;0,57;0,79;-0,41;2,85;-6,78;-0,79;6,58;0,12;0,83;0,4;83,52;;25.735.551,63;10,68;-0,72;0,19;2.349.060.230,40
AMER3;1,08;Consumo Cíclico;21,10;0,71;;22,94;0,07;0,02;30,68;4,18;0,15;0,84;8,48;7,64;0,59;0,04;0,11;-0,04;1,84;0,28;0,1;1,24;0,35;0,65;0,65;21,42;;25.272.201,11;16,74;0,05;-0,6;983.757.158,27
ANIM3;2,97;Consumo Cíclico;7,30;2,02;;-13,38;0,45;0,11;58,09;9,68;-2,47;3,41;15,49;12,04;1,57;0,33;-26,97;-0,14;0,98;-3,34;-0,85;-0,86;0,25;0,7;0,34;27,79;;25.964.679,29;6,63;-0,22;0,22;1.207.567.726,95
APER3;29,73;Financeiro e Outros;35,57;20,25;1,09;15,86;0,73;0,45;100;6,8;8,34;19,47;13,58;-6,08;-0,23;1,32;10,14;-0,59;1,23;4,59;2,84;0,49;0,62;0,38;0,34;22,9;;1.656.549,71;40,76;1,87;0,04;344.404.020,00
APTI3;197,64;Consumo não Cíclico;-;-;;-0,14;0,02;0,01;94,24;-93,35;-57,25;-0,09;-0,87;0,2;-0,04;0,08;0,03;-0,01;4,49;-12,62;-5,31;-23,7;0,42;0,58;0,09;4,07;;;10.896,15;-1.375,05;0;44.442.750,00
APTI4;3.500,00;Consumo não Cíclico;-;-;;-2,55;0,32;0,14;94,24;-93,35;-57,25;-1,56;-0,87;0,2;-0,04;1,46;0,45;-0,22;4,49;-12,62;-5,31;-23,7;0,42;0,58;0,09;4,07;;;10.896,15;-1.375,05;-0,02;44.442.750,00
ARML3;16,09;Bens Industriais;16,80;9,40;2,02;37,89;4,88;1,48;47,15;33,52;14,01;15,84;19,33;3,8;1,17;5,31;6,83;-2,22;2,85;12,88;3,9;10,05;0,3;0,7;0,28;;;6.425.908,76;3,29;0,42;0,43;5.453.212.806,16
ARZZ3;74,48;Consumo Cíclico;103,60;59,50;1,86;21,02;3,02;1,6;53,67;11,17;8,82;16,59;17,28;0,56;0,1;1,85;7,44;-3,36;1,69;14,35;7,6;12,76;0,53;0,47;0,86;25,49;20,34;128.818.115,84;24,66;3,54;-1,74;8.255.140.888,84
ASAI3;11,59;Consumo não Cíclico;21,01;10,50;0,75;14,47;3,92;0,4;16,44;5,06;1,85;5,3;8,27;2,97;2,2;0,27;-5,3;-0,58;0,81;27,09;2,76;17,32;0,1;0,9;1,49;;;244.354.969,68;2,95;0,8;-0,45;15.595.462.528,80
ATMP3;0,94;Bens Industriais;1,95;0,85;;0,05;-0,07;0,02;-18,34;-59,63;90,26;-0,08;-0,96;-0,88;;0,05;-0,03;-0,02;0,3;-136,72;28,97;-960,15;-0,21;1,21;0,32;-16,95;;29.268,74;-13,18;18,02;0;25.107.734,64
ATOM3;2,52;Financeiro e Outros;2,83;1,84;12,71;15,41;2,39;1,58;95,46;9,52;13,01;21,06;11,97;-9,17;-1,04;2;1,83;-87,7;8,27;15,51;10,28;8,72;0,66;0,34;0,79;;-0,86;62.173,61;1,05;0,16;-0,25;60.226.391,94
AURA33;35,62;Materiais Básicos;42,69;27,00;4,09;10,71;1,5;0,68;29,13;18,95;12,11;6,85;8,19;1,33;0,29;1,3;9,06;-1;1,31;14,04;6,34;10,5;0,45;0,55;0,52;32,13;65,98;3.179.090,03;23,73;3,33;-0,24;2.529.042.945,00
AURE3;14,22;Utilidade Pública;14,45;11,57;10,54;4,89;0,92;0,42;20,65;26,42;50,32;9,31;11,09;1,81;0,18;2,46;4,98;-0,53;1,71;18,8;8,64;5,09;0,46;0,54;0,17;;;60.771.620,08;15,48;2,91;0;14.180.000.000,00
AVLL3;3,9;Consumo Cíclico;25,00;2,40;;-0,29;-0,25;0,06;20,13;-43,86;-115;-0,76;-7,04;-6,26;;0,34;-0,18;-0,1;0,52;-84,62;-21,97;-25,44;-0,26;1,26;0,19;19,61;;34.329,66;-15,82;-13,38;0,1;114.174.699,87
AZEV3;1,62;Bens Industriais;3,48;1,25;;-1,11;1,62;0,21;5,39;-27,08;-23,84;-0,98;-1,38;-0,44;0,72;0,27;-2,08;-0,35;0,79;-145,28;-19,22;-127,04;0,13;0,87;0,81;43,23;;155.021,39;1;-1,45;0;119.919.510,50
AZEV4;1,59;Bens Industriais;2,84;1,18;;-1,1;1,6;0,21;5,39;-27,08;-23,84;-0,97;-1,38;-0,44;0,72;0,26;-2,05;-0,34;0,79;-145,28;-19,22;-127,04;0,13;0,87;0,81;43,23;;521.065,26;1;-1,45;0;119.919.510,50
AZUL4;16,31;Bens Industriais;20,11;6,79;;-4,99;-1,04;1,18;18,55;10,14;-23,94;11,79;16,22;12,98;;1,2;-1,73;-1,53;0,25;-20,92;-23,71;51,12;-1,13;2,13;0,99;15,41;;187.515.430,55;-15,6;-3,26;0,01;5.669.076.526,92
B3SA3;13,57;Financeiro e Outros;15,41;9,85;2,94;18,71;3,84;1,72;87,65;53,51;40,97;14,33;13,87;-0,45;-0,12;7,67;9,66;-2,61;2,1;20,51;9,2;12,69;0,45;0,55;0,22;22,44;26,59;494.700.989,76;3,53;0,72;-2,46;78.847.450.000,00
BAHI3;9,09;Consumo Cíclico;15,98;7,95;;-2;3,98;0,34;40,32;-13,57;-30,21;-4,45;-8,03;-3,63;3,25;0,6;-0,98;-0,35;0,1;-199,55;-17,04;-23,1;0,09;0,89;0,56;56,84;;72.528,57;2,28;-4,55;-0,02;215.079.516,00
BALM3;11,01;Saúde;14,26;9,78;1,96;24,21;0,78;0,43;58,92;10,88;2,64;5,87;4,22;-1,24;-0,17;0,64;0,98;-1,46;2,71;3,22;1,79;8,1;0,56;0,44;0,68;8,44;45,86;1.800,75;14,1;0,45;-0,37;100.499.000,00
BALM4;9,5;Saúde;11,76;8,46;2,27;20,89;0,67;0,37;58,92;10,88;2,64;5,06;4,22;-1,24;-0,17;0,55;0,84;-1,26;2,71;3,22;1,79;8,1;0,56;0,44;0,68;8,44;45,86;6.007,73;14,1;0,45;-0,32;100.499.000,00
BAUH4;73,67;Consumo não Cíclico;82,69;69,36;1,64;-658,77;4,07;2,4;22,37;4,77;-0,29;40,1;38,46;-1,64;-0,17;1,91;31,36;-4,36;1,2;-0,62;-0,36;-0,28;0,59;0,41;1,25;3,33;;41.905,75;18,08;-0,11;6,07;384.721.094,74
BAZA3;68,39;Financeiro e Outros;72,40;34,92;7,77;3,23;0,75;0,1;32,67;59,58;34,28;1,86;1,86;;;1,11;3,13;-0,1;;23,12;3,13;;0,14;0,86;0,09;17,64;79,2;287.243,42;91,98;21,27;0,08;3.858.493.821,45
BBAS3;44,37;Financeiro e Outros;44,66;30,02;8,21;3,95;0,78;0,06;31,57;16,7;12,67;3;2,99;;;0,5;2,53;-0,06;11,25;19,71;1,54;;0,08;0,92;0,12;9,97;24,79;546.416.618,66;56,97;11,23;0,05;126.995.282.326,40
BBDC3;13,68;Financeiro e Outros;16,76;11,20;6,7;7,49;0,9;0,08;33,7;9,42;9,1;7,24;7,88;;;0,68;0,9;-0,09;7,18;11,95;1,06;;0,09;0,91;0,12;8,37;2,59;76.619.231,45;15,27;1,83;-0,56;158.332.628.466,48
BBDC4;16,17;Financeiro e Outros;20,50;12,53;6,24;8,85;1,06;0,09;33,7;9,42;9,1;8,55;7,88;;;0,81;1,06;-0,1;7,18;11,95;1,06;;0,09;0,91;0,12;8,37;2,59;733.876.688,24;15,27;1,83;-0,66;158.332.628.466,48
BBML3;3.936,42;Bens Industriais;-;-;;2.618,85;4.008,09;151,13;7,35;2,47;3,66;3.879,11;3.889,81;10,7;11,06;95,84;-1.035,29;-239,81;0,72;153,05;5,77;6,94;0,04;0,96;1,58;41,29;81,57;;0,98;1,5;-2,25;160.451.699.191,56
BBSE3;32,12;Financeiro e Outros;35,96;22,47;9,09;9,58;6,39;4,46;;;;8,3;8,34;;;;34,99;-6,12;1,88;66,67;46,52;;0,7;0,3;0;;10,59;189.544.192,76;5,02;3,35;0,16;64.480.000.000,00
BDLL3;12,98;Bens Industriais;13,19;9,90;;0,31;-0,17;0,03;-63,95;-72,75;210,54;-0,9;-7,91;-7,13;;0,66;3,47;-0,06;1,02;-53,69;10,03;-282,33;-0,19;1,19;0,05;-27,58;;5.267,17;-77,32;41,51;0;17.809.432,16
BDLL4;10;Bens Industriais;11,01;7,55;;0,24;-0,13;0,02;-63,95;-72,75;210,54;-0,7;-7,91;-7,13;;0,51;2,68;-0,04;1,02;-53,69;10,03;-282,33;-0,19;1,19;0,05;-27,58;;15.541,56;-77,32;41,51;0;17.809.432,16
BEEF3;9,76;Consumo não Cíclico;15,43;8,22;5,9;9,01;11,11;0,29;18,8;7,54;2,18;2,61;6,02;3,39;14,44;0,2;1,18;-0,71;1,73;123,29;3,25;14,93;0,03;0,95;1,49;20,68;;117.552.501,66;0,88;1,08;0,2;5.987.814.393,02
BEES3;7,43;Financeiro e Outros;7,45;4,67;7,97;7,36;1,17;0,06;25,36;8,87;6,32;5,24;5,53;;;0,47;0,77;-0,07;;15,94;0,86;;0,05;0,95;0,14;12,53;13,77;138.727,21;6,34;1,01;0,41;2.474.118.548,20
BEES4;8,85;Financeiro e Outros;8,86;4,73;6,69;8,76;1,4;0,08;25,36;8,87;6,32;6,25;5,53;;;0,55;0,91;-0,08;;15,94;0,86;;0,05;0,95;0,14;12,53;13,77;41.123,82;6,34;1,01;0,49;2.474.118.548,20
BFRE11;0;Financeiro e Outros;-;-;;0;0;0;28,71;155,42;126,39;0;;;;0;0;0;;8,02;7,27;;0,91;0,08;0,06;;9,03;;289.527,20;23.221,76;0;
BFRE12;0;Financeiro e Outros;-;-;;0;0;0;28,71;155,42;126,39;0;;;;0;0;0;;8,02;7,27;;0,91;0,08;0,06;;9,03;;289.527,20;23.221,76;0;
BGIP3;29,24;Financeiro e Outros;34,50;24,49;7,67;5,79;0,73;0,05;36,51;9,69;6,78;4,05;3,65;;;0,39;-0,61;-0,12;0,86;12,68;0,91;;0,07;0,93;0,13;8,79;-2,05;5.321,44;39,86;5,05;0,76;402.532.845,15
BGIP4;23,4;Financeiro e Outros;28,63;15,76;10,54;4,63;0,59;0,04;36,51;9,69;6,78;3,24;3,65;;;0,31;-0,48;-0,09;0,86;12,68;0,91;;0,07;0,93;0,13;8,79;-2,05;19.866,53;39,86;5,05;0,61;402.532.845,15
BIDI11;10,4;Financeiro e Outros;12,59;9,65;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,1;;0,22;0,78;0,02;5,8;;189.680.308,83;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,4;Financeiro e Outros;4,07;3,20;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,1;;0,22;0,78;0,02;5,8;;9.796.295,50;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;Financeiro e Outros;4,26;3,22;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,1;;0,22;0,78;0,02;5,8;;44.223.197,08;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;6,45;Saúde;10,48;3,62;;-5,66;3,71;1,39;17,2;-70,48;-81,33;-6,54;-7,37;-1,23;0,7;4,61;5,4;-2,39;2,64;-65,57;-24,62;-26,31;0,38;0,62;0,3;299,61;;83.944,76;1,74;-1,14;-0,43;491.791.335,20
BLAU3;21,41;Saúde;33,63;18,13;3,46;10,87;2,09;1,53;45,4;29,09;26,13;9,77;9,07;-0,77;-0,17;2,84;2,99;-4,4;4,71;19,22;14,1;13,67;0,73;0,27;0,54;;;8.721.354,66;10,25;1,97;0,62;3.869.527.264,23
BLUT3;5,14;Financeiro e Outros;5,30;3,72;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0;-8,15;-2,46;-6,65;0,3;0,7;0;;;254.063,54;11,21;-0,91;0,2;14.115.600,06
BLUT4;1,52;Financeiro e Outros;2,60;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0;-8,15;-2,46;-6,65;0,3;0,7;0;;;224.305,00;11,21;-0,91;0,06;14.115.600,06
BMEB3;11,14;Financeiro e Outros;13,29;9,42;4,42;5,81;0,87;0,07;53,09;6,58;5,13;4,53;4,36;;;0,3;0,95;-0,08;;14,97;1,25;;0,08;0,91;0,24;5,94;22,6;11.717,85;12,81;1,92;1,13;1.125.767.415,04
BMEB4;10,17;Financeiro e Outros;11,06;9,38;5,33;5,3;0,79;0,07;53,09;6,58;5,13;4,13;4,36;;;0,27;0,87;-0,07;;14,97;1,25;;0,08;0,91;0,24;5,94;22,6;42.386,84;12,81;1,92;1,03;1.125.767.415,04
BMGB4;2,23;Financeiro e Outros;2,87;1,97;17,2;14,26;0,32;0,03;42,22;-3,14;1,34;-6,06;-6,04;;;0,19;;-0,03;;2,25;0,21;;0,09;0,91;0,16;19,34;49,35;1.394.363,13;6,99;0,16;-0,27;1.300.608.276,53
BMIN3;18,23;Financeiro e Outros;19,79;16,45;6,62;9,25;0,66;0,36;56,67;29,74;22,86;7,11;6,79;;;2,11;58,72;-0,37;;7,14;3,94;;0,55;0,45;0,17;16,78;;6.640,25;27,6;1,97;0,08;84.029.203,78
BMIN4;12,69;Financeiro e Outros;13,83;10,98;9,51;6,44;0,46;0,25;56,67;29,74;22,86;4,95;6,79;;;1,47;40,88;-0,26;;7,14;3,94;;0,55;0,45;0,17;16,78;;7.045,62;27,6;1,97;0,06;84.029.203,78
BMKS3;324;Consumo Cíclico;348,00;195,92;17,84;5,26;0,72;0,63;26,12;56,71;145;13,45;-3,13;-16,57;-0,88;7,63;0,81;-3,72;16,08;13,65;11,96;1,91;0,88;0,12;0,08;2,51;28,4;8.949,37;451,46;61,61;0,03;147.339.000,00
BMOB3;14,07;Tecnologia da Informação;16,49;10,63;1,59;15,64;1,2;0,95;22,82;7,07;5,77;12,78;7,04;-5,75;-0,54;0,9;2;-2,74;3,56;7,66;6,04;4,49;0,79;0,21;1,05;;;5.382.507,37;11,73;0,9;-15,1;1.278.181.833,52
BNBR3;78,14;Financeiro e Outros;82,00;64,45;7,01;3,2;0,71;0,1;44,45;38,7;24,48;2,02;2,02;;;0,78;1,13;-0,11;;22,21;3,19;;0,14;0,86;0,13;8,76;24,1;17.064,33;109,95;24,42;0,12;6.749.066.196,96
BOAS3;7,77;Financeiro e Outros;7,83;4,06;3,27;14,49;1,85;1,5;57,2;21,59;32,69;21,95;14,15;-7,54;-0,64;4,74;2,98;-4,44;4,17;12,76;10,35;6,7;0,81;0,19;0,32;8,81;75,42;6.478.079,42;4,2;0,54;0,75;4.090.473.561,60
BOBR3;0;Consumo não Cíclico;-;-;;0;0;0;37,28;13,69;4,35;0;2,53;1,61;;0;0;0;0,75;-48,37;7,54;70,21;-0,16;1,16;1,73;6,05;-12,2;;-0,53;0,25;0;191.715.360,72
BOBR4;1,58;Consumo não Cíclico;1,66;1,14;;6,22;-3,01;0,47;37,28;13,69;4,35;1,98;2,53;1,61;;0,27;-2,81;-0,95;0,75;-48,37;7,54;70,21;-0,16;1,16;1,73;6,05;-12,2;167.634,13;-0,53;0,25;-1,82;191.715.360,72
BPAC11;27,4;Financeiro e Outros;29,00;18,29;2,4;13,06;2,37;0,29;16,75;18,85;16,13;11,18;11,15;;;2,11;9,33;-3,18;1,03;18,17;2,19;;0,12;0,88;0,14;46;31,2;297.865.528,03;11,53;2,09;-3,11;104.628.983.878,61
BPAC3;13,44;Financeiro e Outros;15,51;9,58;1,63;19,25;3,5;0,42;16,75;18,85;16,13;16,48;11,15;;;3,11;13,74;-4,69;1,03;18,17;2,19;;0,12;0,88;0,14;46;31,2;77.876,58;3,84;0,7;-4,58;104.628.983.878,61
BPAC5;6,96;Financeiro e Outros;6,97;4,47;3,15;9,97;1,81;0,22;16,75;18,85;16,13;8,53;11,15;;;1,61;7,12;-2,43;1,03;18,17;2,19;;0,12;0,88;0,14;46;31,2;48.063,19;3,84;0,7;-2,37;104.628.983.878,61
BPAN4;6,72;Financeiro e Outros;8,04;4,61;3,75;14,28;1,18;0,15;51,87;5,21;4,69;12,86;12,82;;;0,67;;-0,15;;8,28;1,06;;0,13;0,87;0,23;8,24;40,24;15.708.155,55;5,66;0,47;-0,43;8.504.971.116,92
BPAR3;182,07;Financeiro e Outros;-;-;3,37;7,28;1,02;0,11;55,65;14,23;8,39;4,3;4,3;;;0,61;1,27;-0,12;;14,01;1,56;;0,11;0,89;0,19;4,66;0,56;;178,47;25;0,3;1.733.606.633,43
BPAT33;44,05;Financeiro e Outros;-;-;;6,98;0,66;0,09;51,56;21,77;5,61;1,8;1,8;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;Saúde;-;-;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,8;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,5;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,4;0;70.110.298,74
BRAP3;20,83;Materiais Básicos;27,04;17,97;12,79;2,29;1,1;1,02;;;;2,35;2,23;-0,22;-0,11;;40,72;-1,13;1,35;48,04;44,55;46,89;0,93;0,07;0;;8,93;1.349.862,11;18,91;9,09;-0,04;8.559.150.772,90
BRAP4;22,13;Materiais Básicos;31,20;19,30;13,25;2,43;1,17;1,08;;;;2,49;2,23;-0,22;-0,11;;43,22;-1,2;1,35;48,04;44,55;46,89;0,93;0,07;0;;8,93;82.194.179,21;18,91;9,09;-0,05;8.559.150.772,90
BRBI11;12,35;Financeiro e Outros;15,13;9,59;8,02;8,89;;0,15;18,12;8,39;9,02;9,55;64,85;55,36;;0,8;;-0,15;;;1,7;0,42;0;1;0,19;;;638.012,95;0;1,39;0,92;1.288.297.288,08
BRBI3;0;Financeiro e Outros;-;-;;0;;0;18,12;8,39;9,02;0;64,85;55,36;;0;;0;;;1,7;0,42;0;1;0,19;;;;0;0,46;0;1.288.297.288,08
BRBI4;0;Financeiro e Outros;-;-;;0;;0;18,12;8,39;9,02;0;64,85;55,36;;0;;0;;;1,7;0,42;0;1;0,19;;;;0;0,46;0;1.288.297.288,08
BRFS3;7,31;Consumo não Cíclico;17,62;5,55;;-3;0,77;0,14;15,82;0,38;-4,78;37,32;111,87;73,98;1,52;0,14;1,89;-0,25;1,19;-25,59;-4,55;0,53;0,18;0,81;0,95;13,7;;129.713.705,76;9,49;-2,43;-0,02;8.010.302.020,40
BRGE11;9,79;Financeiro e Outros;9,79;5,23;3,91;8,48;0,55;0,25;-3.940,13;1.469,66;2.289,10;13,21;-13,97;-27,61;-1,15;194,08;1,17;-0,55;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;2.358,00;17,76;1,15;0,03;744.419.570,20
BRGE12;9,9;Financeiro e Outros;9,99;6,20;;8,57;0,56;0,25;-3.940,13;1.469,66;2.289,10;13,35;-13,97;-27,61;-1,15;196,26;1,18;-0,56;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;3.763,43;17,76;1,15;0,03;744.419.570,20
BRGE3;9,95;Financeiro e Outros;11,98;6,00;;8,62;0,56;0,25;-3.940,13;1.469,66;2.289,10;13,42;-13,97;-27,61;-1,15;197,25;1,19;-0,56;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;2.601,25;17,76;1,15;0,03;744.419.570,20
BRGE5;11,31;Financeiro e Outros;11,31;8,58;2,82;9,79;0,64;0,29;-3.940,13;1.469,66;2.289,10;15,26;-13,97;-27,61;-1,15;224,21;1,35;-0,64;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;4.755,00;17,76;1,15;0,03;744.419.570,20
BRGE6;10,45;Financeiro e Outros;14,82;7,42;7,33;9,05;0,59;0,26;-3.940,13;1.469,66;2.289,10;14,1;-13,97;-27,61;-1,15;207,16;1,25;-0,59;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;14.457,80;17,76;1,15;0,03;744.419.570,20
BRGE7;9,29;Financeiro e Outros;9,29;3,68;4,81;8,05;0,52;0,23;-3.940,13;1.469,66;2.289,10;12,53;-13,97;-27,61;-1,15;184,17;1,11;-0,52;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;1.766,67;17,76;1,15;0,03;744.419.570,20
BRGE8;9,7;Financeiro e Outros;9,76;6,91;3,29;8,4;0,55;0,24;-3.940,13;1.469,66;2.289,10;13,08;-13,97;-27,61;-1,15;192,29;1,16;-0,55;1,62;6,5;2,91;2,28;0,45;0,37;0;-31,54;10,69;970;17,76;1,15;0,03;744.419.570,20
